date,revenue,expenses,budgeted_expenses
2021-01-01,120000,78000,75000
2021-04-01,135000,82000,80000
2021-07-01,142000,86000,83000
2021-10-01,165000,97000,90000
2022-01-01,150000,88000,85000
2022-04-01,158000,91000,89000
2022-07-01,170000,96000,92000
2022-10-01,195000,112000,100000
2023-01-01,180000,99000,95000
2023-04-01,188000,103000,98000
2023-07-01,202000,108000,102000
2023-10-01,230000,125000,110000
2024-01-01,215000,116000,108000
2024-04-01,225000,121000,113000
2024-07-01,240000,128000,118000
2024-10-01,270000,145000,130000
2025-01-01,252000,134000,125000
2025-04-01,265000,139000,131000
2025-07-01,282000,148000,138000
2025-10-01,315000,168000,150000
