date,revenue,expenses,budgeted_expenses,expense_variance,expense_variance_pct,variance_flag,variance_percentage,budget_alert,risk_level
2021-01-01,120000,78000,75000,3000,4.0,Within Budget,4.0,Within Budget,Low Risk
2021-04-01,135000,82000,80000,2000,2.5,Within Budget,2.5,Within Budget,Low Risk
2021-07-01,142000,86000,83000,3000,3.614457831325301,Within Budget,3.614457831325301,Within Budget,Low Risk
2021-10-01,165000,97000,90000,7000,7.777777777777778,Within Budget,7.777777777777778,Within Budget,Low Risk
2022-01-01,150000,88000,85000,3000,3.5294117647058822,Within Budget,3.5294117647058822,Within Budget,Low Risk
2022-04-01,158000,91000,89000,2000,2.247191011235955,Within Budget,2.247191011235955,Within Budget,Low Risk
2022-07-01,170000,96000,92000,4000,4.3478260869565215,Within Budget,4.3478260869565215,Within Budget,Low Risk
2022-10-01,195000,112000,100000,12000,12.0,Over Budget,12.0,Over Budget,Medium Risk
2023-01-01,180000,99000,95000,4000,4.2105263157894735,Within Budget,4.2105263157894735,Within Budget,Low Risk
2023-04-01,188000,103000,98000,5000,5.1020408163265305,Within Budget,5.1020408163265305,Within Budget,Low Risk
2023-07-01,202000,108000,102000,6000,5.88235294117647,Within Budget,5.88235294117647,Within Budget,Low Risk
2023-10-01,230000,125000,110000,15000,13.636363636363635,Over Budget,13.636363636363635,Over Budget,Medium Risk
2024-01-01,215000,116000,108000,8000,7.4074074074074066,Within Budget,7.4074074074074066,Within Budget,Low Risk
2024-04-01,225000,121000,113000,8000,7.079646017699115,Within Budget,7.079646017699115,Within Budget,Low Risk
2024-07-01,240000,128000,118000,10000,8.47457627118644,Within Budget,8.47457627118644,Within Budget,Low Risk
2024-10-01,270000,145000,130000,15000,11.538461538461538,Over Budget,11.538461538461538,Over Budget,Medium Risk
2025-01-01,252000,134000,125000,9000,7.199999999999999,Within Budget,7.199999999999999,Within Budget,Low Risk
2025-04-01,265000,139000,131000,8000,6.106870229007633,Within Budget,6.106870229007633,Within Budget,Low Risk
2025-07-01,282000,148000,138000,10000,7.246376811594203,Within Budget,7.246376811594203,Within Budget,Low Risk
2025-10-01,315000,168000,150000,18000,12.0,Over Budget,12.0,Over Budget,Medium Risk
