ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2021-01-01,4945.512599999999,120006.35288417985,122754.36254148217,4945.512599999999,4945.512599999999,116410.57502774266,116410.57502774266,116410.57502774266,116410.57502774266,116410.57502774266,116410.57502774266,0.0,0.0,0.0,121356.08762774266
2021-04-01,10387.91801522491,130921.69152958812,133625.3588487403,10387.91801522491,10387.91801522491,121926.39311771395,121926.39311771395,121926.39311771395,121926.39311771395,121926.39311771395,121926.39311771395,0.0,0.0,0.0,132314.31113293886
2021-07-01,15882.257299986073,140527.26345127745,143262.87484279607,15882.257299986073,15882.257299986073,126026.70525193604,126026.70525193604,126026.70525193604,126026.70525193604,126026.70525193604,126026.70525193604,0.0,0.0,0.0,141908.96255192213
2021-10-01,21436.973811941556,165316.08535491617,168019.2501252657,21436.973811941556,21436.973811941556,145223.45182820642,145223.45182820642,145223.45182820642,145223.45182820642,145223.45182820642,145223.45182820642,0.0,0.0,0.0,166660.425640148
2022-01-01,28704.99327199393,148364.70403318293,151160.32862050924,28704.99327199393,28704.99327199393,121012.67114992732,121012.67114992732,121012.67114992732,121012.67114992732,121012.67114992732,121012.67114992732,0.0,0.0,0.0,149717.66442192125
2022-04-01,35818.76347162366,156803.69272792147,159633.14695305447,35818.76347162366,35818.76347162366,122473.0819390436,122473.0819390436,122473.0819390436,122473.0819390436,122473.0819390436,122473.0819390436,0.0,0.0,0.0,158291.84541066724
2022-07-01,43022.374333900094,168137.444693964,170850.90918171688,43022.374333900094,43022.374333900094,126440.63828251172,126440.63828251172,126440.63828251172,126440.63828251172,126440.63828251172,126440.63828251172,0.0,0.0,0.0,169463.0126164118
2022-10-01,50309.94133692375,193740.90709880667,196541.98251850632,50309.94133692375,50309.94133692375,144822.80731166186,144822.80731166186,144822.80731166186,144822.80731166186,144822.80731166186,144822.80731166186,0.0,0.0,0.0,195132.7486485856
2023-01-01,57599.95261308996,178778.96515035687,181528.8802437852,57599.95261308996,57599.95261308996,122572.73539893438,122572.73539893438,122572.73539893438,122572.73539893438,122572.73539893438,122572.73539893438,0.0,0.0,0.0,180172.68801202433
2023-04-01,64733.20274712107,186501.7917094433,189316.29156062554,64733.20274712107,64733.20274712107,123173.24314751143,123173.24314751143,123173.24314751143,123173.24314751143,123173.24314751143,123173.24314751143,0.0,0.0,0.0,187906.4458946325
2023-07-01,74372.81445697822,200757.8716369698,203576.59840443742,74372.81445697822,74372.81445697822,127781.78814882977,127781.78814882977,127781.78814882977,127781.78814882977,127781.78814882977,127781.78814882977,0.0,0.0,0.0,202154.602605808
2023-10-01,84124.91145844272,228613.88503767466,231236.8561147557,84124.91145844272,84124.91145844272,145820.12948878604,145820.12948878604,145820.12948878604,145820.12948878604,145820.12948878604,145820.12948878604,0.0,0.0,0.0,229945.04094722876
2024-01-01,93884.66687414733,213679.98448545535,216337.3000570807,93884.66687414733,93884.66687414733,121096.95198595339,121096.95198595339,121096.95198595339,121096.95198595339,121096.95198595339,121096.95198595339,0.0,0.0,0.0,214981.61886010072
2024-04-01,103541.03349405428,223696.10465459427,226482.2596020549,103541.03349405428,103541.03349405428,121562.14389222191,121562.14389222191,121562.14389222191,121562.14389222191,121562.14389222191,121562.14389222191,0.0,0.0,0.0,225103.1773862762
2024-07-01,113224.21882842235,238428.61452134463,241165.37764441367,113224.21882842235,113224.21882842235,126544.85245183365,126544.85245183365,126544.85245183365,126544.85245183365,126544.85245183365,126544.85245183365,0.0,0.0,0.0,239769.071280256
2024-10-01,123019.17004733736,268653.3413961826,271387.7746433398,123019.17004733736,123019.17004733736,146998.61529060826,146998.61529060826,146998.61529060826,146998.61529060826,146998.61529060826,146998.61529060826,0.0,0.0,0.0,270017.7853379456
2025-01-01,134361.9900793666,249402.8076095963,252269.23024914344,134361.9900793666,134361.9900793666,116410.57502760501,116410.57502760501,116410.57502760501,116410.57502760501,116410.57502760501,116410.57502760501,0.0,0.0,0.0,250772.5651069716
2025-04-01,145458.22706722122,266053.78798443504,268679.6493121581,145458.22706722122,145458.22706722122,121926.39311774494,121926.39311774494,121926.39311774494,121926.39311774494,121926.39311774494,121926.39311774494,0.0,0.0,0.0,267384.62018496613
2025-07-01,156677.75557716313,281351.8061715819,284129.7902499473,156677.75557716313,156677.75557716313,126026.70525200809,126026.70525200809,126026.70525200809,126026.70525200809,126026.70525200809,126026.70525200809,0.0,0.0,0.0,282704.46082917124
2025-10-01,168020.5756091923,311826.41317969415,314648.04950715,168020.5756091923,168020.5756091923,145223.4518280874,145223.4518280874,145223.4518280874,145223.4518280874,145223.4518280874,145223.4518280874,0.0,0.0,0.0,313244.0274372797
